Day,Weather,Customers_Forecast,Meals_Prepared,Festival,Event_Type,Staff_Count,Avg_Rating,Special_Event,Surplus_Meals
Wednesday,Sunny,592,703,No,Regular,31,4.7,0,62.3
Tuesday,Rainy,207,252,Christmas,Corporate,15,3.57,0,60.4
Monday,Rainy,637,758,No,Regular,32,3.64,0,179.1
Thursday,Sunny,93,129,No,Buffet,9,3.93,0,45.1
Thursday,Cloudy,139,194,No,Regular,11,3.94,0,39.9
Saturday,Cloudy,420,520,No,Banquet,25,3.46,1,186.6
Thursday,Cloudy,248,289,No,Regular,16,4.15,1,52.6
Wednesday,Cloudy,497,597,No,Buffet,25,3.6,1,174.7
Tuesday,Stormy,569,675,No,Regular,29,4.29,1,243.8
Tuesday,Sunny,124,169,Christmas,Regular,11,4.33,0,33.9
Sunday,Sunny,726,985,No,Buffet,40,4.58,0,230.9
Tuesday,Cloudy,652,867,Diwali,Buffet,36,4.31,0,277.3
Sunday,Sunny,439,516,No,Corporate,24,4.39,0,35.6
Wednesday,Sunny,765,1018,No,Buffet,43,3.5,1,311.5
Monday,Sunny,146,203,Eid,Buffet,12,3.77,0,69.9
Tuesday,Sunny,444,516,Diwali,Corporate,22,4.06,0,51.0
Monday,Stormy,308,383,No,Regular,15,4.48,0,149.4
Saturday,Sunny,333,402,No,Corporate,18,4.1,0,23.4
Thursday,Cloudy,414,490,No,Regular,24,4.01,0,71.8
Wednesday,Rainy,528,654,No,Regular,26,4.37,0,180.8
Friday,Sunny,376,446,No,Corporate,17,3.31,0,35.5
Friday,Sunny,271,311,No,Regular,18,3.69,0,36.9
Sunday,Sunny,267,330,No,Regular,17,4.19,0,44.0
Sunday,Cloudy,750,896,No,Regular,37,4.13,0,125.1
Friday,Sunny,444,562,No,Buffet,27,4.32,0,134.4
Saturday,Cloudy,404,494,No,Buffet,22,4.23,1,135.1
Saturday,Sunny,477,539,No,Regular,22,4.29,0,19.0
Thursday,Sunny,466,606,Diwali,Regular,24,3.88,0,106.4
Friday,Sunny,106,138,Christmas,Regular,8,4.68,1,42.4
Monday,Sunny,77,106,No,Regular,7,3.68,1,21.2
Saturday,Sunny,482,584,No,Regular,23,4.02,0,72.2
Sunday,Stormy,522,659,Diwali,Regular,25,4.13,0,293.1
Monday,Sunny,315,367,No,Corporate,15,4.39,0,22.1
Saturday,Cloudy,345,476,No,Buffet,20,3.73,0,125.9
Sunday,Cloudy,629,733,No,Regular,32,4.08,0,94.9
Tuesday,Cloudy,125,167,No,Regular,12,4.56,0,31.8
Thursday,Cloudy,437,485,No,Regular,19,4.12,1,73.7
Sunday,Sunny,384,477,No,Regular,22,4.19,1,77.7
Sunday,Cloudy,337,398,No,Regular,20,3.96,0,61.4
Monday,Sunny,178,253,No,Banquet,15,4.12,1,111.2
Wednesday,Rainy,409,451,No,Corporate,22,4.11,0,57.2
Friday,Sunny,251,312,No,Buffet,16,4.29,0,73.6
Tuesday,Cloudy,379,452,New Year,Regular,23,3.6,0,79.0
Wednesday,Cloudy,702,925,No,Buffet,38,4.06,0,206.6
Monday,Cloudy,694,904,No,Banquet,39,4.18,0,221.9
Tuesday,Sunny,103,144,No,Regular,12,4.46,0,26.9
Thursday,Cloudy,572,647,No,Corporate,29,4.4,0,46.6
Friday,Cloudy,519,677,Eid,Regular,31,4.71,0,144.8
Friday,Cloudy,796,995,Diwali,Buffet,38,4.13,0,241.6
Saturday,Sunny,122,156,No,Regular,7,3.57,1,24.0
Wednesday,Sunny,715,894,No,Buffet,34,4.09,0,179.2
Tuesday,Sunny,483,537,No,Regular,22,3.44,0,41.2
Monday,Rainy,694,839,No,Buffet,35,3.44,0,262.4
Tuesday,Sunny,759,1035,No,Buffet,39,3.85,0,244.7
Wednesday,Cloudy,665,873,No,Buffet,38,4.22,1,283.2
Tuesday,Cloudy,378,500,No,Buffet,24,3.67,0,149.4
Monday,Cloudy,552,662,No,Regular,27,4.68,0,77.5
Tuesday,Cloudy,752,913,No,Buffet,38,4.21,1,224.5
Friday,Cloudy,716,888,No,Regular,35,4.64,0,126.0
Friday,Cloudy,636,874,No,Buffet,38,4.85,0,269.6
Sunday,Sunny,752,853,No,Regular,34,4.53,0,74.5
Saturday,Rainy,598,818,No,Buffet,31,3.92,0,276.3
Thursday,Stormy,324,385,No,Regular,15,3.68,0,142.5
Monday,Sunny,231,303,No,Banquet,15,3.72,0,90.6
Thursday,Stormy,402,509,No,Buffet,23,4.18,0,282.3
Monday,Stormy,618,754,No,Regular,28,3.93,0,281.1
Thursday,Cloudy,162,224,No,Buffet,14,3.68,0,64.7
Wednesday,Cloudy,565,704,No,Regular,28,4.37,0,94.2
Thursday,Cloudy,439,519,No,Regular,25,4.33,0,61.6
Tuesday,Sunny,142,170,No,Regular,12,3.73,1,22.8
Friday,Sunny,214,250,No,Corporate,14,3.89,0,2.0
Saturday,Sunny,140,213,No,Banquet,12,3.5,0,86.2
Saturday,Rainy,839,1041,No,Banquet,42,4.15,0,409.2
Friday,Sunny,332,427,New Year,Regular,20,3.93,1,95.8
Thursday,Rainy,174,211,Diwali,Regular,9,4.53,0,54.0
Monday,Cloudy,143,176,New Year,Corporate,8,4.11,0,27.8
Saturday,Cloudy,434,555,Christmas,Regular,25,3.8,0,103.6
Thursday,Sunny,314,389,No,Buffet,16,4.12,0,87.2
Tuesday,Sunny,827,1100,No,Banquet,46,3.99,1,329.4
Wednesday,Sunny,621,695,No,Regular,28,3.79,0,47.7
Sunday,Sunny,221,290,No,Regular,15,4.05,0,40.5
Friday,Sunny,616,735,Diwali,Corporate,30,3.55,0,93.4
Thursday,Sunny,121,178,Eid,Buffet,10,4.17,1,64.9
Friday,Sunny,544,748,No,Banquet,28,4.2,0,206.6
Wednesday,Cloudy,481,620,Eid,Buffet,24,4.56,0,183.3
Thursday,Sunny,226,302,No,Regular,13,4.18,0,61.4
Wednesday,Sunny,398,453,No,Corporate,19,3.69,1,48.1
Thursday,Rainy,361,421,No,Corporate,21,2.82,0,100.6
Friday,Cloudy,950,1275,Christmas,Banquet,48,3.65,0,416.9
Monday,Rainy,731,976,No,Buffet,39,4.24,0,321.0
Saturday,Cloudy,784,931,No,Buffet,39,4.62,1,207.0
Wednesday,Sunny,524,655,No,Regular,27,4.15,0,89.6
Friday,Rainy,316,404,No,Regular,19,3.77,0,79.7
Friday,Rainy,950,1324,Diwali,Banquet,48,4.21,0,618.8
Friday,Cloudy,467,651,No,Banquet,25,3.1,1,241.7
Friday,Cloudy,737,913,New Year,Buffet,38,4.13,0,314.6
Sunday,Sunny,589,747,No,Banquet,33,4.36,0,193.9
Thursday,Cloudy,358,470,Christmas,Regular,19,3.78,1,133.2
Saturday,Rainy,583,696,No,Corporate,28,4.53,0,139.6
Friday,Cloudy,215,291,No,Buffet,12,4.71,0,74.0
Tuesday,Sunny,671,886,Christmas,Buffet,34,4.35,0,253.9
Wednesday,Sunny,649,895,Diwali,Buffet,34,4.28,1,346.1
Thursday,Sunny,407,521,No,Buffet,23,2.66,0,137.8
Tuesday,Sunny,399,478,Eid,Corporate,19,4.25,0,53.0
Wednesday,Sunny,219,263,No,Regular,15,4.52,1,40.7
Wednesday,Rainy,463,541,No,Corporate,22,4.07,1,122.1
Friday,Sunny,163,198,No,Regular,14,4.46,0,16.9
Tuesday,Sunny,491,552,No,Regular,22,4.18,0,53.3
Saturday,Sunny,667,823,No,Buffet,34,4.14,0,146.3
Thursday,Cloudy,188,214,No,Corporate,10,4.32,0,22.0
Friday,Cloudy,913,1127,No,Banquet,47,4.04,0,257.1
Monday,Cloudy,232,282,No,Regular,13,3.8,1,68.4
Thursday,Stormy,380,434,No,Regular,17,4.01,0,130.4
Monday,Stormy,675,846,No,Buffet,35,3.97,0,384.8
Friday,Rainy,110,141,No,Corporate,9,4.28,0,24.4
Wednesday,Rainy,423,535,No,Banquet,24,3.74,1,208.6
Sunday,Sunny,468,563,No,Corporate,26,4.61,0,60.2
Wednesday,Cloudy,203,290,No,Buffet,12,4.26,0,65.5
Thursday,Sunny,327,396,No,Corporate,21,4.62,0,30.8
Tuesday,Rainy,439,519,Eid,Regular,21,4.01,1,171.0
Friday,Sunny,950,1357,Christmas,Banquet,48,3.56,0,447.0
Thursday,Sunny,286,361,No,Buffet,16,3.6,0,79.6
Wednesday,Sunny,548,655,No,Regular,27,3.85,1,108.7
Tuesday,Cloudy,527,667,No,Buffet,25,3.67,0,173.6
Monday,Cloudy,325,364,No,Corporate,20,3.46,0,19.2
Monday,Sunny,408,471,No,Regular,23,4.2,0,41.8
Sunday,Cloudy,773,960,No,Regular,38,4.26,0,128.0
Wednesday,Sunny,540,644,No,Buffet,26,4.03,0,114.1
Monday,Rainy,442,631,No,Banquet,25,4.71,0,260.7
Sunday,Sunny,931,1119,Eid,Buffet,44,4.11,0,234.6
Monday,Sunny,467,575,No,Regular,24,3.98,1,100.5
Wednesday,Cloudy,272,371,No,Buffet,15,4.0,0,105.7
Friday,Cloudy,508,659,Christmas,Regular,30,4.43,0,155.3
Sunday,Rainy,765,861,No,Regular,34,3.55,0,193.3
Friday,Cloudy,570,632,No,Regular,29,3.35,0,65.8
Thursday,Stormy,610,787,No,Buffet,30,4.21,1,404.0
Sunday,Sunny,544,640,No,Regular,27,4.21,0,74.3
Monday,Sunny,561,712,No,Regular,27,4.37,0,108.8
Sunday,Stormy,137,163,No,Regular,7,4.11,0,57.2
Saturday,Sunny,771,966,No,Buffet,36,4.86,0,218.7
Sunday,Rainy,712,877,No,Regular,35,4.47,0,174.5
Tuesday,Sunny,80,119,No,Regular,9,3.15,0,33.4
Tuesday,Cloudy,627,781,No,Buffet,33,3.54,1,230.3
Friday,Sunny,390,464,No,Corporate,18,3.34,0,47.1
Thursday,Cloudy,261,306,No,Corporate,15,4.15,0,38.2
Thursday,Rainy,153,206,No,Buffet,10,4.2,0,65.3
Sunday,Sunny,364,497,No,Buffet,19,4.84,1,110.5
Friday,Sunny,497,537,No,Corporate,22,3.81,0,19.3
Wednesday,Sunny,437,531,No,Buffet,25,3.74,0,114.8
Wednesday,Sunny,121,175,No,Buffet,12,4.23,1,75.6
Monday,Sunny,243,309,No,Regular,17,3.69,1,48.5
Tuesday,Stormy,86,122,No,Regular,6,4.01,0,50.4
Tuesday,Sunny,276,331,No,Regular,18,4.51,0,35.4
Saturday,Sunny,716,798,No,Regular,33,4.45,0,52.2
Friday,Sunny,857,1102,No,Banquet,44,4.57,0,288.5
Thursday,Sunny,598,710,Eid,Regular,30,3.57,0,97.5
Wednesday,Sunny,195,233,No,Buffet,13,4.35,0,43.4
Friday,Cloudy,724,1011,No,Banquet,38,4.12,0,312.3
Saturday,Cloudy,349,457,Eid,Buffet,23,5.0,0,147.9
Sunday,Rainy,402,516,No,Regular,24,4.42,0,152.7
Thursday,Sunny,878,1083,No,Banquet,40,4.12,1,244.4
Saturday,Cloudy,661,777,No,Regular,30,4.55,0,95.1
Thursday,Rainy,470,592,No,Regular,26,4.36,0,157.3
Thursday,Rainy,625,727,No,Regular,27,4.44,1,125.0
Sunday,Rainy,430,524,Diwali,Regular,25,4.34,0,151.7
Wednesday,Sunny,88,125,No,Corporate,6,3.96,0,14.5
Wednesday,Stormy,595,730,No,Regular,32,3.96,0,247.2
Wednesday,Rainy,114,154,No,Corporate,12,4.42,0,50.0
Thursday,Rainy,220,283,Diwali,Regular,14,3.86,0,68.6
Thursday,Cloudy,827,1104,No,Banquet,42,4.2,0,302.3
Friday,Stormy,703,867,No,Regular,37,4.33,0,237.1
Thursday,Sunny,173,231,No,Banquet,15,3.88,0,47.9
Tuesday,Cloudy,562,673,No,Regular,26,4.31,1,118.1
Sunday,Cloudy,523,591,No,Corporate,26,4.14,0,39.0
Wednesday,Cloudy,115,150,No,Corporate,9,3.96,0,22.2
Sunday,Rainy,562,738,Eid,Buffet,33,4.45,1,316.1
Tuesday,Sunny,219,289,No,Regular,16,3.6,0,59.9
Thursday,Sunny,442,565,No,Buffet,26,3.59,0,123.7
Thursday,Sunny,207,274,No,Buffet,13,4.14,0,64.2
Saturday,Cloudy,178,244,No,Buffet,11,3.65,0,64.9
Monday,Cloudy,531,718,No,Buffet,29,4.67,0,218.7
Sunday,Rainy,828,1122,No,Banquet,44,3.98,1,436.7
Thursday,Rainy,247,314,No,Banquet,18,3.54,0,123.8
Friday,Cloudy,603,782,No,Buffet,30,4.06,0,226.6
Thursday,Sunny,352,431,No,Regular,21,4.87,1,73.3
Monday,Cloudy,604,738,No,Regular,30,3.75,0,121.3
Thursday,Rainy,473,581,No,Buffet,27,3.86,0,183.9
Tuesday,Cloudy,483,647,No,Banquet,30,4.36,0,182.2
Wednesday,Rainy,71,84,No,Regular,5,4.71,0,18.0
Friday,Stormy,720,820,No,Regular,33,3.7,0,248.5
Thursday,Sunny,449,569,No,Regular,26,3.81,0,88.0
Monday,Cloudy,173,208,No,Regular,9,3.47,0,43.9
Monday,Cloudy,97,147,Diwali,Banquet,8,4.12,0,56.8
Tuesday,Sunny,221,270,No,Buffet,14,4.23,0,53.9
Tuesday,Sunny,358,452,No,Regular,21,4.51,1,71.0
Friday,Sunny,745,843,No,Regular,36,4.3,0,69.2
Tuesday,Sunny,426,521,No,Regular,25,4.17,1,77.5
Sunday,Cloudy,179,234,Eid,Buffet,11,4.23,0,73.4
Tuesday,Sunny,213,267,No,Buffet,13,4.37,0,54.7
Monday,Sunny,203,259,No,Regular,13,3.63,0,30.9
Sunday,Cloudy,133,163,No,Regular,12,4.23,0,31.9
Wednesday,Sunny,207,272,No,Banquet,15,3.42,0,71.8
Thursday,Rainy,107,135,No,Corporate,6,4.6,0,25.3
Sunday,Sunny,693,907,No,Buffet,35,4.88,0,248.7
Sunday,Sunny,671,849,Diwali,Buffet,37,3.88,1,252.6
Friday,Stormy,877,1059,No,Banquet,44,4.26,0,622.5
Monday,Rainy,206,265,No,Buffet,15,4.46,0,90.7
Friday,Cloudy,950,1306,No,Banquet,48,4.78,1,428.2
Sunday,Rainy,342,385,No,Regular,16,4.07,0,72.7
Sunday,Sunny,183,223,No,Regular,13,3.83,0,22.7
Monday,Rainy,158,210,No,Regular,12,4.32,0,53.0
Wednesday,Sunny,227,269,No,Corporate,16,4.68,0,24.2
Wednesday,Cloudy,140,183,No,Buffet,8,4.16,0,48.7
Monday,Sunny,250,337,Eid,Regular,17,4.69,0,74.8
Friday,Rainy,762,1003,No,Banquet,40,4.55,0,375.8
Tuesday,Sunny,882,1187,No,Banquet,46,4.43,0,295.5
Wednesday,Sunny,69,84,No,Regular,6,4.11,0,12.3
Monday,Sunny,484,664,No,Buffet,30,4.02,0,173.2
Thursday,Cloudy,243,320,No,Buffet,18,4.84,0,74.0
Tuesday,Sunny,261,334,No,Regular,16,3.76,0,46.7
Thursday,Cloudy,527,663,No,Buffet,29,4.34,0,176.9
Tuesday,Sunny,239,306,No,Regular,13,4.31,1,55.9
Sunday,Rainy,543,760,No,Banquet,29,4.27,1,276.5
Tuesday,Sunny,226,273,No,Corporate,12,3.67,1,37.2
Thursday,Stormy,386,559,Christmas,Banquet,22,4.15,0,348.3
Tuesday,Sunny,431,499,No,Corporate,21,3.9,0,31.3
Monday,Sunny,236,303,No,Regular,17,4.51,0,45.4
Tuesday,Sunny,385,455,No,Regular,22,4.23,0,45.7
Monday,Sunny,630,865,No,Buffet,34,4.74,1,247.7
Monday,Sunny,428,539,No,Regular,22,4.72,0,72.9
Thursday,Sunny,608,741,No,Buffet,33,3.95,0,160.4
Friday,Rainy,411,526,Christmas,Regular,24,4.72,0,179.6
Monday,Cloudy,335,426,No,Regular,22,3.86,0,64.5
Thursday,Sunny,98,141,No,Buffet,9,4.68,0,38.9
Friday,Sunny,689,911,No,Buffet,37,3.63,1,271.4
Tuesday,Sunny,557,704,Eid,Buffet,27,4.75,0,237.0
Wednesday,Sunny,434,571,No,Buffet,23,3.83,1,139.0
Monday,Sunny,485,623,New Year,Regular,27,3.98,0,118.9
Tuesday,Sunny,403,453,No,Corporate,21,4.05,0,28.6
Thursday,Sunny,204,286,No,Buffet,17,3.87,0,87.7
Sunday,Stormy,284,399,Diwali,Buffet,21,4.69,0,232.8
Sunday,Cloudy,536,629,No,Regular,24,3.4,0,75.6
Sunday,Rainy,178,250,No,Buffet,15,4.34,0,77.6
Thursday,Sunny,575,706,No,Regular,30,4.37,0,70.3
Monday,Rainy,321,391,No,Buffet,16,3.68,0,111.9
Wednesday,Sunny,415,502,Christmas,Regular,19,3.93,0,89.6
Tuesday,Sunny,332,412,Diwali,Corporate,21,3.7,0,41.9
Monday,Rainy,408,497,No,Corporate,19,3.99,0,82.7
Monday,Sunny,326,445,No,Buffet,20,4.5,0,132.4
Thursday,Sunny,425,462,No,Corporate,19,3.96,0,11.2
Wednesday,Rainy,200,259,No,Buffet,16,4.24,1,111.9
Tuesday,Cloudy,254,317,No,Regular,13,4.08,0,53.9
Friday,Cloudy,97,133,No,Corporate,10,4.96,0,17.6
Wednesday,Sunny,218,324,Eid,Banquet,14,4.17,0,101.9
Saturday,Sunny,118,161,No,Regular,8,3.76,0,24.4
Tuesday,Stormy,340,392,No,Regular,19,4.22,0,119.3
Thursday,Sunny,130,199,New Year,Buffet,10,4.41,0,63.9
Tuesday,Sunny,200,248,Eid,Regular,15,3.89,0,41.3
Thursday,Sunny,415,494,No,Buffet,21,4.66,1,119.2
Tuesday,Rainy,557,696,No,Buffet,26,3.44,0,239.6
Tuesday,Rainy,73,101,No,Corporate,8,3.94,0,43.0
Friday,Sunny,582,641,No,Regular,25,4.13,0,50.7
Tuesday,Stormy,367,410,No,Regular,21,4.53,0,125.6
Tuesday,Sunny,63,90,No,Corporate,5,4.71,0,8.1
Sunday,Rainy,148,183,No,Regular,8,4.7,0,41.1
Monday,Sunny,743,899,No,Buffet,36,4.19,0,158.5
Thursday,Sunny,327,410,Christmas,Regular,17,4.6,0,68.4
Thursday,Sunny,602,710,Diwali,Regular,29,4.4,0,118.8
Tuesday,Stormy,438,559,No,Buffet,22,4.17,0,297.5
Thursday,Rainy,142,172,No,Regular,13,3.91,0,33.5
Monday,Cloudy,586,790,No,Buffet,30,4.22,0,183.8
Saturday,Sunny,498,634,No,Buffet,24,4.65,0,134.5
Tuesday,Sunny,256,306,Diwali,Corporate,17,4.16,0,47.4
Tuesday,Sunny,168,198,No,Corporate,11,3.96,0,22.9
Wednesday,Sunny,323,373,No,Regular,20,4.61,0,29.9
Sunday,Sunny,756,858,No,Regular,37,3.94,0,60.8
Saturday,Cloudy,210,250,No,Corporate,11,4.35,0,24.1
Sunday,Cloudy,477,555,No,Regular,25,4.28,0,64.7
Friday,Rainy,103,133,No,Regular,6,4.5,0,33.5
Friday,Sunny,572,670,No,Regular,28,4.46,0,70.6
Thursday,Sunny,699,891,No,Buffet,35,4.4,0,199.3
Sunday,Cloudy,766,940,Eid,Regular,39,3.98,0,196.7
Thursday,Sunny,536,607,No,Regular,23,3.9,0,44.2
Wednesday,Cloudy,547,685,No,Buffet,31,4.26,0,144.5
Friday,Rainy,440,509,No,Corporate,21,4.22,0,116.1
Thursday,Sunny,571,675,Christmas,Regular,28,5.0,1,120.4
Monday,Sunny,86,113,No,Buffet,11,4.27,0,37.3
Wednesday,Rainy,246,312,No,Buffet,15,4.16,0,99.1
Wednesday,Cloudy,92,122,No,Regular,9,3.88,0,33.5
Saturday,Cloudy,240,279,No,Regular,11,3.69,1,60.1
Wednesday,Cloudy,196,255,Eid,Regular,15,3.49,0,58.2
Saturday,Cloudy,390,463,No,Regular,23,3.67,0,72.8
Thursday,Sunny,420,507,No,Corporate,24,4.0,0,39.8
Saturday,Rainy,698,889,Eid,Regular,38,4.53,0,300.6
Monday,Rainy,579,737,No,Banquet,33,4.3,1,237.0
Sunday,Sunny,107,146,No,Regular,11,3.71,0,43.7
Thursday,Sunny,124,160,No,Regular,12,3.87,0,28.9
Tuesday,Cloudy,386,460,No,Buffet,21,4.08,1,113.7
Tuesday,Cloudy,379,438,Eid,Corporate,19,3.98,0,55.9
Tuesday,Sunny,544,624,No,Regular,27,3.76,1,90.1
Wednesday,Cloudy,283,339,No,Regular,19,3.09,0,45.3
Friday,Cloudy,246,316,Christmas,Buffet,14,3.67,0,111.1
Sunday,Cloudy,179,218,No,Regular,12,3.7,0,23.3
Friday,Sunny,614,797,No,Buffet,34,4.6,0,170.4
Thursday,Sunny,580,685,No,Corporate,30,4.71,0,36.1
Thursday,Sunny,106,135,No,Regular,10,3.33,0,25.4
Saturday,Rainy,78,102,No,Corporate,8,4.44,0,24.9
Saturday,Cloudy,87,111,No,Regular,8,4.63,0,17.3
Wednesday,Sunny,345,397,No,Corporate,21,3.8,0,6.2
Sunday,Rainy,425,590,No,Banquet,23,3.44,0,230.2
Wednesday,Sunny,653,761,No,Buffet,31,4.81,0,128.5
Saturday,Cloudy,903,1125,No,Banquet,42,4.04,0,333.0
Sunday,Sunny,389,443,No,Corporate,22,4.66,0,22.5
Friday,Cloudy,109,144,No,Regular,7,4.16,1,32.4
Tuesday,Cloudy,396,482,No,Regular,23,4.74,1,69.9
Friday,Rainy,336,401,No,Regular,20,4.31,0,91.3
Monday,Sunny,551,684,Christmas,Regular,27,3.97,0,120.0
Saturday,Sunny,709,885,Eid,Buffet,35,3.92,0,231.0
Wednesday,Sunny,746,928,No,Buffet,36,3.88,0,207.7
Friday,Stormy,407,552,Eid,Buffet,25,4.04,0,322.7
Sunday,Sunny,307,344,No,Regular,18,4.09,1,58.2
Tuesday,Cloudy,344,431,New Year,Regular,22,4.27,0,105.4
Wednesday,Cloudy,544,706,New Year,Regular,30,3.95,0,175.2
Friday,Sunny,604,839,No,Banquet,34,4.86,0,225.8
Wednesday,Sunny,260,309,No,Regular,18,4.8,1,47.8
Tuesday,Sunny,592,673,No,Regular,27,4.24,0,38.6
Monday,Cloudy,293,362,No,Regular,19,4.9,0,57.0
Wednesday,Stormy,803,1071,No,Banquet,43,4.73,0,553.5
Friday,Sunny,528,673,No,Regular,30,4.0,1,135.4
Friday,Stormy,149,198,No,Buffet,10,4.32,0,101.7
Tuesday,Sunny,352,401,Diwali,Regular,18,4.1,0,60.2
Thursday,Sunny,467,588,New Year,Regular,25,4.73,0,104.5
Wednesday,Rainy,716,936,No,Buffet,39,3.76,0,345.3
Tuesday,Rainy,457,602,No,Buffet,23,3.53,0,215.2
Saturday,Sunny,108,161,Diwali,Buffet,12,4.12,0,50.7
Wednesday,Cloudy,272,332,No,Regular,15,3.77,0,37.8
Thursday,Rainy,878,1196,Christmas,Banquet,46,3.78,0,464.1
Sunday,Rainy,511,652,No,Buffet,30,4.05,0,211.9
Thursday,Cloudy,404,502,No,Banquet,19,3.94,0,103.3
Friday,Sunny,697,779,No,Regular,33,4.0,0,55.8
Monday,Sunny,308,385,No,Regular,15,4.04,0,42.3
Tuesday,Cloudy,514,596,No,Regular,28,4.24,0,66.1
Monday,Cloudy,70,99,No,Corporate,6,3.85,0,16.2
Saturday,Sunny,431,490,No,Corporate,20,3.89,0,26.9
Saturday,Sunny,116,164,No,Buffet,11,4.49,0,38.0
Tuesday,Sunny,168,205,No,Regular,10,4.62,1,33.8
Tuesday,Cloudy,382,457,No,Regular,18,4.88,0,51.9
Wednesday,Sunny,425,499,No,Regular,19,4.14,0,37.9
Friday,Sunny,147,179,No,Corporate,13,4.6,0,7.8
Friday,Sunny,429,476,No,Regular,22,4.0,0,20.7
Friday,Rainy,365,485,Diwali,Regular,24,4.32,0,139.5
Sunday,Cloudy,393,446,Christmas,Regular,21,4.17,1,90.2
Wednesday,Sunny,536,656,No,Regular,27,4.86,0,65.9
Friday,Sunny,950,1143,No,Banquet,47,3.86,0,206.6
Thursday,Sunny,109,141,Christmas,Regular,11,3.78,0,21.4
Wednesday,Cloudy,898,1155,No,Banquet,44,4.14,0,301.5
Sunday,Cloudy,139,189,No,Buffet,8,3.31,0,66.7
Monday,Cloudy,741,939,No,Buffet,35,4.15,0,228.5
Friday,Cloudy,614,755,No,Buffet,28,3.09,0,144.1
Saturday,Sunny,718,974,No,Buffet,38,3.75,0,257.1
Sunday,Sunny,301,363,No,Buffet,16,4.12,0,72.3
Thursday,Sunny,413,466,No,Regular,20,3.43,1,104.6
Wednesday,Sunny,573,701,No,Banquet,27,4.23,0,128.8
Saturday,Sunny,304,377,No,Regular,18,3.2,1,80.4
Saturday,Cloudy,432,496,No,Regular,19,4.09,0,56.7
Thursday,Sunny,615,762,No,Regular,32,4.43,0,87.3
Saturday,Cloudy,186,249,No,Buffet,10,4.61,0,55.3
Tuesday,Sunny,330,402,No,Regular,19,4.76,0,45.1
Friday,Sunny,316,409,No,Regular,17,3.75,0,49.6
Sunday,Cloudy,221,268,No,Regular,16,3.95,0,37.2
Wednesday,Sunny,344,412,No,Regular,16,3.83,0,57.5
Thursday,Sunny,130,161,No,Regular,11,4.48,1,34.3
Sunday,Sunny,148,188,Diwali,Corporate,11,4.21,0,20.9
Saturday,Cloudy,666,814,No,Regular,33,4.12,0,111.5
Sunday,Sunny,425,552,No,Banquet,25,4.09,1,151.9
Wednesday,Stormy,308,416,No,Buffet,17,4.36,0,231.0
Sunday,Stormy,490,582,No,Corporate,27,3.76,1,226.4
Tuesday,Rainy,714,1007,Diwali,Banquet,42,4.45,0,455.1
Thursday,Sunny,567,663,No,Regular,30,4.26,0,71.2
Thursday,Cloudy,515,640,No,Buffet,24,4.56,0,110.2
Saturday,Sunny,266,306,No,Regular,15,3.97,0,20.4
Sunday,Rainy,278,354,No,Regular,16,4.14,0,95.0
Saturday,Cloudy,576,642,No,Regular,25,4.58,0,53.9
Friday,Sunny,811,1101,No,Buffet,42,3.64,0,321.2
Thursday,Sunny,539,595,No,Corporate,26,4.63,0,18.9
Thursday,Rainy,556,680,No,Regular,26,4.01,0,145.8
Thursday,Rainy,386,458,Eid,Corporate,21,4.45,0,68.7
Monday,Cloudy,165,211,Diwali,Regular,11,4.46,0,43.9
Thursday,Cloudy,307,360,No,Regular,18,4.05,0,48.0
Saturday,Rainy,166,212,No,Regular,10,4.13,0,47.0
Friday,Rainy,465,615,No,Buffet,27,3.55,1,234.5
Saturday,Rainy,602,764,Diwali,Buffet,32,3.37,0,306.5
Wednesday,Sunny,457,548,No,Regular,22,4.16,0,69.4
Thursday,Cloudy,201,238,No,Regular,11,4.61,1,34.4
Monday,Rainy,563,716,No,Buffet,28,4.05,0,246.7
Wednesday,Sunny,233,293,No,Corporate,17,3.25,0,34.5
Thursday,Sunny,469,533,No,Regular,24,3.92,0,42.8
Tuesday,Sunny,731,996,No,Buffet,41,3.91,0,270.2
Monday,Sunny,280,382,No,Buffet,15,3.97,0,107.0
Friday,Rainy,244,304,No,Buffet,12,3.69,1,110.0
Thursday,Sunny,627,750,No,Regular,33,3.82,0,79.9
Wednesday,Cloudy,475,615,No,Banquet,27,3.49,0,169.5
Tuesday,Sunny,241,304,No,Buffet,16,4.98,0,75.9
Thursday,Rainy,237,296,No,Regular,17,4.82,1,91.2
Thursday,Rainy,304,350,New Year,Corporate,19,3.72,0,97.1
Thursday,Cloudy,241,285,No,Corporate,12,4.14,0,8.6
Friday,Cloudy,858,1170,No,Buffet,44,3.87,0,283.0
Monday,Sunny,252,306,Diwali,Corporate,14,4.05,0,27.5
Sunday,Rainy,412,511,No,Regular,20,4.29,0,136.2
Monday,Cloudy,195,233,Christmas,Corporate,15,4.2,1,49.4
Thursday,Sunny,475,557,No,Regular,26,4.53,0,40.5
Tuesday,Stormy,457,540,No,Corporate,21,3.91,0,195.7
Thursday,Sunny,393,470,No,Regular,22,4.13,1,76.3
Wednesday,Cloudy,537,634,No,Regular,28,3.08,1,114.5
Sunday,Sunny,273,349,Christmas,Regular,14,4.19,1,87.5
Wednesday,Cloudy,341,401,Christmas,Corporate,16,3.24,0,42.4
Friday,Sunny,711,952,No,Buffet,41,3.59,1,304.3
